gbifID	scientificName	decimalLatitude	decimalLongitude	day	month	year	countryCode	stateProvince	DataSetID/Name	Elevation	kingdom	phylum	class	order	family
3461680790	Allobates insperatus	0.476267	-76.591008	25	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680787	Scinax garbei	0.450022	-76.574806	28	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680785	Scinax cruentomma	0.450022	-76.574806	28	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680783	Allobates insperatus	0.469561	-76.595786	22	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680781	Boana alfaroi	0.468458	-76.596639	22	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680780	Boana calcarata	0.475767	-76.591925	22	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680778	Pristimantis acuminatus	0.450753	-76.623536	23	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680773	Boana tetete	0.449908	-76.574997	29	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680772	Allobates insperatus	0.420058	-76.611883	17	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680770	Boana geographica	0.42535	-76.617372	18	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680769	Boana alfaroi	0.422867	-76.616817	18	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680763	Boana maculateralis	0.418003	-76.610494	15	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680762	Osteocephalus planiceps	0.421142	-76.613756	17	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680761	Allobates insperatus	0.405936	-76.615503	19	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680754	Pristimantis martiae	0.468039	-76.596608	22	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680753	Leptodactylus diedrus	0.405475	-76.615692	19	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680749	Adenomera hylaedactyla	0.134722	-74.95	12	5	2003	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	330.0	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680748	Allobates femoralis	0.134722	-74.95	12	5	2003	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	330.0	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680747	Pseudopaludicola pusilla	9.5775	-75.461111	1	4	2009	CO	Sucre	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680746	Pseudopaludicola pusilla	9.5775	-75.461111	1	4	2009	CO	Sucre	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680745	Pseudopaludicola pusilla	9.5775	-75.461111	1	4	2009	CO	Sucre	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680744	Oreobates quixensis	0.450642	-76.576403	30	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680743	Pristimantis lanthanites	0.45145	-76.623406	2	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680742	Pristimantis martiae	0.451311	-76.623478	2	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680741	Ameerega trivittata	0.453508	-76.619736	1	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Dendrobatidae
3461680740	Pristimantis lanthanites	0.449972	-76.624436	2	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680738	Oreobates quixensis	0.451928	-76.623167	2	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680737	Leptodactylus diedrus	0.450664	-76.623547	1	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680735	Pristimantis lanthanites	0.449992	-76.625067	2	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680734	Ameerega hahneli	0.453589	-76.619717	1	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Dendrobatidae
3461680733	Rhinella proboscidea	0.450625	-76.6235	2	12	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Bufonidae
3461679983	Osteocephalus verruciger	1.608247	-76.108878	24	1	1978	CO	Huila	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	1800.0	Animalia	Chordata	Amphibia	Anura	Hylidae
3461679823	Scinax kennedyi	2.2619	-73.78671	25	10	2016	CO	Meta	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461679820	Pristimantis vilarsi	2.462361	-72.670806	27	8	2017	CO	Guaviare	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461679818	Pristimantis vilarsi	2.530472	-72.864722	27	8	2017	CO	Guaviare	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461679816	Pristimantis vilarsi	2.511556	-72.706944	28	8	2017	CO	Guaviare	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461679812	Rhinella beebei	5.363333	-67.86	1	1	2004	CO	Vichada	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	240.0	Animalia	Chordata	Amphibia	Anura	Bufonidae
3461679627	Pipa pipa	2.297056	-73.869444	6	2	2018	CO	Meta	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Pipidae
